rank,paper_id,overall_score,has_d_final_output,status,phage_coverage_completeness,field_coverage_completeness,attribution_correctness,value_fidelity_verbatim,schema_compliance,hallucination_and_noise_control
1,An_RNA_Hairpin_Sequesters_the_Ribosome_Binding_Sit,10.0,True,ok,10.0,10.0,10.0,10.0,10.0,10.0
2,Analysis_of_DNA_Binding_by_a_Eubacterial_Zinc_Fing,10.0,True,ok,10.0,10.0,10.0,10.0,10.0,10.0
3,APhageProtein_Confers_Resistance_to_the_Lactococca,9.6667,True,ok,10.0,10.0,10.0,8.0,10.0,10.0
4,Bacillus_subtilisOperon_Encoding_a_Membrane_Recept,9.6667,True,ok,10.0,8.0,10.0,10.0,10.0,10.0
5,Analysis_of_Early_Promoters_of_theBacillusBacterio,9.5,True,ok,10.0,8.0,10.0,9.0,10.0,10.0
6,A_Genomewide_Mutagenesis_ScreenIdentifiesMultiple_,8.5,True,ok,8.0,6.0,9.0,8.0,10.0,10.0
7,Amino_Acid_Residues_in_the_GIY-YIG_Endonuclease_II,8.5,True,ok,10.0,1.0,10.0,10.0,10.0,10.0
8,AbortivePhageResistance_Mechanism_AbiZ_Speeds_the_,8.3333,True,ok,8.0,6.0,8.0,9.0,10.0,9.0
9,A_Mutation_within_the_β_Subunit_ofEscherichia_coli,8.1667,True,ok,8.0,6.0,9.0,9.0,8.0,9.0
10,An_Enterotoxin-Bearing_Pathogenicity_Island_inStap,8.1667,True,ok,10.0,6.0,8.0,7.0,10.0,8.0
11,Bacteriophageand_Phenotypic_Variation_inPseudomona,8.1667,True,ok,10.0,4.0,9.0,8.0,8.0,10.0
12,A_Tail_Fiber_Protein_and_a_Receptor-Binding_Protei,8.0,True,ok,6.0,5.0,8.0,9.0,10.0,10.0
13,Abortive_Infection_Mechanisms_and_Prophage_Sequenc,7.6667,True,ok,8.0,7.0,8.0,6.0,9.0,8.0
14,A_Possible_Heterodimeric_Prophage-Like_Element_in_,6.6667,True,ok,0.0,0.0,10.0,10.0,10.0,10.0
15,A_Study_of_the_CopF_Repressor_of_Plasmid_pAMβ1_byP,6.6667,True,ok,0.0,0.0,10.0,10.0,10.0,10.0
16,A_Novel_FilamentousPhagefrom_the_Deep-Sea_Bacteriu,6.0,True,ok,6.0,7.0,6.0,5.0,8.0,4.0
17,A_1_Ribosomal_Frameshift_in_the_Transcript_That_En,5.1667,True,ok,4.0,3.0,5.0,7.0,8.0,4.0
18,A_Self-Splicing_Group_I_Intron_in_DNA_Polymerase_G,4.6667,True,ok,3.0,2.0,4.0,6.0,8.0,5.0
19,An_Active_Type_IV_Secretion_System_Encoded_by_the_,4.3333,True,ok,2.0,2.0,3.0,5.0,8.0,6.0
20,A_Conserved_Acetyl_Esterase_Domain_Targets_Diverse,3.5,True,ok,4.0,5.0,3.0,6.0,2.0,1.0
21,ABacteriophageCapsid_Protein_Is_an_Inhibitor_of_a_,2.5,True,ok,1.0,1.0,1.0,1.0,10.0,1.0
22,A_Conserved_C-Terminal_Region_in_Gp71_of_the_Small,0.0,True,error,,,,,,
23,Anatomy_of_a_LactococcalPhageTail,0.0,True,error,,,,,,
